global_cycle,session,raw_cycle,filename,n_points,n_points_ox,n_points_red,E_min,E_max,I_min_mA,I_max_mA,I_mean_mA,Q_ox_mC,Q_red_mC,Q_total_mC
1625,0,812,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,0.99999964,1.59085,-0.01099505265364829,0.3191664611276366,0.06241486043848146,3.605664971363896,,3.605664971363896
1626,0,813,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090947,1.6000012,-0.1807247363816171,0.3081996829613392,-0.01512294656570638,,-1.0121166347287542,-1.0121166347287542
1627,0,813,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,0.99999726,1.589666,-0.01108557111381192,0.3197823473702017,0.06177875388453609,3.5704818262673665,,3.5704818262673665
1628,0,814,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090803,1.6000171,-0.1806723420813485,0.3073240442478911,-0.01529940037401415,,-1.0225928234087327,-1.0225928234087327
1629,0,814,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,320,320,0,0.99998283,1.5910463,-0.01123960277713515,0.3185054173766186,0.06330453753655241,3.5953250268572265,,3.5953250268572265
1630,0,815,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090963,1.5999557,-0.1809066273615141,0.3055821087049402,-0.015539809154672908,,-1.0356696962275256,-1.0356696962275256
1631,0,815,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,318,318,0,0.99999881,1.589947,-0.01236430555582047,0.3167346021266155,0.06146359328900148,3.566819081343475,,3.566819081343475
1632,0,816,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090823,1.5999973,-0.1807878382116455,0.3057204543248466,-0.015644699684137932,,-1.0422570449645998,-1.0422570449645998
1633,0,816,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,0.99998498,1.5910538,-0.01204532808016828,0.3188872733201125,0.06179454037895918,3.5894893212132573,,3.5894893212132573
1634,0,817,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090842,1.6000054,-0.1805674664283954,0.3043648995783013,-0.01574939502044101,,-1.0485022902098162,-1.0485022902098162
