cycle,j_forward_mAcm2,j_backward_mAcm2,delta_j_mAcm2
1,0.011658914285714285,-0.01526134693877551,0.026920261224489796
2,0.010039902040816328,-0.01620533418367347,0.0262452362244898
3,0.010177250510204081,-0.016644758673469387,0.026822009183673466
4,0.010333000510204082,-0.01698078826530612,0.027313788775510203
5,0.010663583163265307,-0.0172476,0.027911183163265303
6,0.010912208163265305,-0.017463795408163264,0.028376003571428568
7,0.01107447193877551,-0.017646769387755102,0.02872124132653061
8,0.010945792346938776,-0.01783805357142857,0.028783845918367346
9,0.011357022959183673,-0.017856061734693878,0.029213084693877553
10,0.011581885204081634,-0.01804509081632653,0.029626976020408164
11,0.01169762806122449,-0.018164067346938775,0.029861695408163268
12,0.01177823163265306,-0.018303296938775512,0.030081528571428574
13,0.011860963265306121,-0.018433013265306122,0.030293976530612242
14,0.011939729081632653,-0.018613143367346936,0.03055287244897959
15,0.012005219387755102,-0.01866874642857143,0.03067396581632653
16,0.012094222448979591,-0.018766504081632652,0.030860726530612243
17,0.01212509693877551,-0.018831942857142858,0.030957039795918368
18,0.01220749081632653,-0.018882075,0.031089565816326534
19,0.012278567857142857,-0.018981514285714287,0.031260082142857144
20,0.012339553571428572,-0.01908071530612245,0.03142026887755102
21,0.012383242857142858,-0.019160891836734695,0.031544134693877554
22,0.012416747448979592,-0.019231310714285715,0.03164805816326531
23,0.012463220408163266,-0.01929628316326531,0.03175950357142857
24,0.012526762755102042,-0.01934437704081633,0.03187113979591837
25,0.012544576020408165,-0.019393171938775513,0.03193774795918368
26,0.012591581122448979,-0.01943945102040816,0.032031032142857144
27,0.01263910612244898,-0.019506420408163264,0.03214552653061224
28,0.012624900510204082,-0.019577555612244897,0.03220245612244898
29,0.012698681122448978,-0.019630140306122448,0.03232882142857142
30,0.012738141326530613,-0.019624422448979592,0.03236256377551021
31,0.012769332653061224,-0.01971447857142857,0.032483811224489796
32,0.012792305102040817,-0.019736158673469388,0.032528463775510205
33,0.012812482142857143,-0.019754719897959183,0.032567202040816326
34,0.012826912244897959,-0.019815226530612243,0.0326421387755102
35,0.012853164795918368,-0.019844336224489795,0.032697501020408165
36,0.012884161224489796,-0.019997423979591835,0.03288158520408163
37,0.01290441275510204,-0.019868367346938774,0.032772780102040815
38,0.012892826020408164,-0.019914614285714286,0.032807440306122454
39,0.012902757142857142,-0.019927989285714286,0.03283074642857143
40,0.012929567346938776,-0.01992019642857143,0.0328497637755102
41,0.012936851530612246,-0.019625694897959185,0.03256254642857143
42,0.012995489285714286,-0.020082435714285713,0.033077925
43,0.012985748469387756,-0.0200633112244898,0.03304905969387756
44,0.012935706632653062,-0.02007051530612245,0.03300622193877551
45,0.012981241836734693,-0.020056135204081633,0.03303737704081633
46,0.01296596887755102,-0.020117026020408164,0.033082994897959184
47,0.013032117346938776,-0.020102372448979593,0.03313448979591837
48,0.013003426020408161,-0.020162339285714283,0.03316576530612245
49,0.01301649948979592,-0.020158922959183676,0.0331754224489796
50,0.013051400510204082,-0.02011970612244898,0.03317110663265306
51,0.012985381122448979,-0.020096380102040817,0.033081761224489796
52,0.012953250510204082,-0.020090182142857144,0.03304343265306123
53,0.01297406224489796,-0.020055480102040817,0.03302954234693878
54,0.012965992857142856,-0.020119905102040817,0.03308589795918367
55,0.012957544897959182,-0.020062320918367346,0.03301986581632653
56,0.012930822448979593,-0.020177537755102042,0.03310836020408164
57,0.012995371428571429,-0.02014884591836735,0.03314421734693878
58,0.012934295408163266,-0.020113742346938777,0.03304803775510204
59,0.012893920408163265,-0.020134370918367346,0.03302829132653061
60,0.012867908163265307,-0.02012074387755102,0.03298865204081633
61,0.012842833163265305,-0.020097843367346938,0.032940676530612244
62,0.01287453775510204,-0.020119499489795918,0.03299403724489796
63,0.012872267346938776,-0.01997285255102041,0.032845119897959185
64,0.012831185714285714,-0.020247660714285715,0.03307884642857143
65,0.012797155102040816,-0.02013772551020408,0.03293488061224489
66,0.012797602040816326,-0.02011546581632653,0.032913067857142854
67,0.012804061224489797,-0.020139038265306122,0.032943099489795916
68,0.01277819387755102,-0.020103994387755102,0.032882188265306124
69,0.01274636581632653,-0.02014220714285714,0.03288857295918367
70,0.01267398418367347,-0.02016637602040816,0.03284036020408163
71,0.012638792346938776,-0.020055872448979592,0.03269466479591837
72,0.012592648469387756,-0.02021449693877551,0.03280714540816326
73,0.012611467857142856,-0.020188228571428574,0.03279969642857143
74,0.012605998979591837,-0.020166934693877554,0.03277293367346939
75,0.012491353571428571,-0.02018780306122449,0.03267915663265306
76,0.01248013163265306,-0.02011925816326531,0.032599389795918365
77,0.012493102551020407,-0.02025809387755102,0.032751196428571425
78,0.01229563469387755,-0.020174754591836735,0.03247038928571429
79,0.012390258673469387,-0.020240123469387757,0.03263038214285714
80,0.01234281581632653,-0.020273878571428573,0.03261669438775511
81,0.012272335714285714,-0.020279348469387757,0.03255168418367347
82,0.012317960204081633,-0.020390652040816325,0.03270861224489796
83,0.012154483673469389,-0.020245629081632653,0.032400112755102045
84,0.012126994897959185,-0.020342736224489795,0.03246973112244898
85,0.012089970918367346,-0.020284760714285716,0.03237473163265306
86,0.012033189795918367,-0.020357040816326527,0.03239023061224489
87,0.011946452040816326,-0.020303229591836735,0.03224968163265306
88,0.011924625,-0.020342072448979592,0.032266697448979594
89,0.011783960204081633,-0.020338821938775512,0.032122782142857145
90,0.011801088775510204,-0.020344316326530613,0.032145405102040815
91,0.01170679387755102,-0.020327466836734694,0.032034260714285716
92,0.011672728571428571,-0.02048560051020408,0.03215832908163265
93,0.011585309183673469,-0.020644516836734697,0.032229826020408164
