cycle,j_forward_mAcm2,j_backward_mAcm2,delta_j_mAcm2
1,0.010344013775510204,-0.020703883673469387,0.03104789744897959
2,0.012673234183673469,-0.024172030102040817,0.03684526428571429
3,0.013550717857142857,-0.026373970408163264,0.039924688265306124
4,0.012821578571428571,-0.02806683979591837,0.04088841836734694
5,0.012824010204081632,-0.030014014285714288,0.04283802448979592
6,0.01257796887755102,-0.031666,0.04424396887755102
7,0.010519752551020408,-0.03341112755102041,0.04393088010204082
8,0.013230802551020408,-0.035650186734693876,0.048880989285714285
9,0.01119189081632653,-0.03805081275510204,0.04924270357142857
10,0.010692519897959184,-0.04048409081632653,0.05117661071428571
11,0.009915982653061223,-0.042862054081632656,0.052778036734693876
12,0.008987906122448978,-0.046122139795918365,0.055110045918367344
13,0.007900729081632652,-0.04888590969387755,0.056786638775510205
14,0.006847352551020408,-0.05115801785714286,0.05800537040816327
15,0.005574180612244899,-0.05341510306122449,0.05898928367346939
16,0.00449335,-0.05522601326530612,0.05971936326530612
17,0.00336315,-0.05609759489795919,0.05946074489795919
18,0.0019371163265306125,-0.057432029081632655,0.059369145408163265
19,0.000801584693877551,-0.057984883673469385,0.05878646836734694
20,6.153775510204082e-05,-0.05804986836734694,0.058111406122448986
21,-0.0009253158163265306,-0.05791274234693877,0.05698742653061224
22,-0.008201635204081632,-0.05811040102040816,0.04990876581632653
23,-0.0024031739795918367,-0.058518266326530614,0.056115092346938775
24,-0.0032320933673469386,-0.05897211632653061,0.05574002295918368
25,-0.0034523311224489797,-0.05966869846938775,0.05621636734693877
26,-0.0029657081632653063,-0.060473038265306124,0.057507330102040816
27,-0.004384988775510204,-0.061858582653061225,0.05747359387755102
28,-0.0051312244897959184,-0.06300286836734693,0.05787164387755102
29,-0.005676077040816327,-0.06459430816326531,0.05891823112244898
30,-0.005474408163265307,-0.06637335612244898,0.06089894795918367
31,-0.007057196428571429,-0.06806789030612245,0.06101069387755102
32,-0.007759501020408163,-0.06933706326530613,0.061577562244897965
33,-0.0176710556122449,-0.07080194081632653,0.05313088520408163
34,-0.009621880612244898,-0.07195407857142856,0.06233219795918366
35,-0.010436258163265306,-0.07267035765306122,0.06223409948979591
36,-0.01134639948979592,-0.07306324795918367,0.061716848469387756
37,-0.019145296428571427,-0.07363955051020409,0.05449425408163266
38,-0.012977516326530611,-0.07371615918367347,0.06073864285714286
39,-0.01339671836734694,-0.07351254489795919,0.06011582653061225
40,-0.01399724030612245,-0.07310237244897959,0.05910513214285714
41,-0.012870798469387754,-0.07298121887755102,0.060110420408163265
42,-0.01646494948979592,-0.07249459234693878,0.05602964285714286
43,-0.015199186224489796,-0.07192403928571428,0.05672485306122448
44,-0.01532168775510204,-0.07129627806122449,0.05597459030612245
45,-0.016773660714285713,-0.07066206836734694,0.05388840765306123
46,-0.015674085714285715,-0.06995382908163265,0.054279743367346936
47,-0.015668919897959183,-0.06927541326530613,0.05360649336734695
48,-0.017649772959183675,-0.0683778556122449,0.050728082653061224
49,-0.015605068367346939,-0.06792101530612245,0.05231594693877551
50,-0.015723972448979592,-0.06742334846938776,0.051699376020408166
51,-0.015717310714285712,-0.06656759489795919,0.050850284183673475
52,-0.015535231632653062,-0.06619861428571429,0.05066338265306122
53,-0.01551533418367347,-0.06545665765306122,0.04994132346938775
54,-0.015461423979591837,-0.06493755,0.04947612602040816
55,-0.0155188806122449,-0.06427037397959184,0.048751493367346944
56,-0.014821944897959185,-0.06384774387755102,0.049025798979591834
57,-0.014305725,-0.06332518010204082,0.04901945510204082
58,-0.015095868877551022,-0.06282867704081632,0.0477328081632653
59,-0.014959523979591835,-0.06228999540816327,0.047330471428571434
60,-0.014991109693877552,-0.061959597959183675,0.04696848826530613
61,-0.014795032142857142,-0.061289111224489795,0.04649407908163265
62,-0.01470785612244898,-0.06104564183673469,0.04633778571428571
63,-0.014591744897959183,-0.060606630102040815,0.04601488520408163
64,-0.014750824489795918,-0.06008408724489796,0.045333262755102036
65,-0.014481676020408162,-0.05981096224489796,0.0453292862244898
66,-0.014369219387755103,-0.05938058265306122,0.045011363265306116
67,-0.013063091326530612,-0.058899239795918365,0.04583614846938775
68,-0.014296114285714284,-0.0588343862244898,0.04453827193877551
69,-0.014288425,-0.05841522142857143,0.04412679642857143
70,-0.014182798979591836,-0.05826310969387755,0.04408031071428572
71,-0.01392107193877551,-0.05790830408163265,0.043987232142857144
72,-0.013940614285714286,-0.057651551020408164,0.04371093673469388
73,-0.013849611224489796,-0.05730082959183673,0.04345121836734693
74,-0.013641143367346939,-0.05717013163265306,0.04352898826530612
75,-0.013848845918367348,-0.05676213112244898,0.042913285204081636
76,-0.013742407653061225,-0.05634123979591837,0.042598832142857146
77,-0.013668071428571429,-0.05618037397959184,0.04251230255102041
78,-0.013469895408163264,-0.05578131734693878,0.04231142193877552
79,-0.013410083673469388,-0.055656427040816324,0.042246343367346936
80,-0.013309942346938775,-0.055464430612244896,0.04215448826530612
81,-0.013202763265306122,-0.055247339795918365,0.04204457653061224
82,-0.013379746428571428,-0.05511401173469387,0.041734265306122446
83,-0.013193371428571429,-0.05483603979591837,0.04164266836734694
