global_cycle,session,raw_cycle,filename,n_points,n_points_ox,n_points_red,E_min,E_max,I_min_mA,I_max_mA,I_mean_mA,Q_ox_mC,Q_red_mC,Q_total_mC
1577,0,788,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,363,363,0,0.99995571,1.5909511,-0.009685028344392776,0.6326718043595179,0.05433610553063501,3.037241703550789,,3.037241703550789
1578,0,789,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,304,0,304,1.009599,1.5999893,-0.2404200133799294,0.3408874989824087,-0.013063315358121882,,-0.8962308464327601,-0.8962308464327601
1579,0,789,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,357,357,0,0.99999946,1.5902158,-0.01715258870314321,0.6325918937286232,0.05468164837348859,3.0167163671001664,,3.0167163671001664
1580,0,790,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,311,0,311,1.009137,1.5999376,-0.2412753838712199,0.3342040892570246,-0.014253749998576698,,-0.9096284312386519,-0.9096284312386519
1581,0,790,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,354,354,0,1.0000373,1.5910158,-0.01724851503968239,0.6275149145457508,0.05458182225097546,3.0342016775952514,,3.0342016775952514
1582,0,791,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.008499,1.6000233,-0.240884026826615,0.3234794146340826,-0.013313134154888374,,-0.910367713228618,-0.910367713228618
1583,0,791,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,352,352,0,0.99999946,1.5907787,-0.02926717326045036,0.6294764308538925,0.05598450515241928,3.0267526115313768,,3.0267526115313768
1584,0,792,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0082029,1.5999713,-0.2400007270387743,0.3298554517652672,-0.013385016497189274,,-0.918995509046381,-0.918995509046381
1585,0,792,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,349,349,0,1.0000035,1.5903696,-0.01619875933165138,0.6259270934190753,0.05470927657625713,3.0124640660950943,,3.0124640660950943
1586,0,793,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0084989,1.6000012,-0.2410475091527609,0.3444066047668457,-0.013417842830660564,,-0.9235641928538839,-0.9235641928538839
1587,0,793,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,347,347,0,0.99999952,1.5906719,-0.01560653336143691,0.6283511151429586,0.05640164505067728,3.021436246219499,,3.021436246219499
1588,0,794,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,305,0,305,1.0085149,1.5999162,-0.2404301699412019,0.3250182959295449,-0.013775565018279812,,-0.878107980934666,-0.878107980934666
1589,0,794,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,352,352,0,1.0000154,1.5911102,-0.01647207829291408,0.6344836324608092,0.057686618591142526,3.0690544467849965,,3.0690544467849965
1590,0,795,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0085069,1.5999652,-0.2399883906885778,0.3307428359985352,-0.012912702788727174,,-0.8907489606322978,-0.8907489606322978
1591,0,795,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,350,350,0,1.0000075,1.5909386,-0.01559859435276494,0.6309237953135094,0.05682126475349535,3.0603944616115797,,3.0603944616115797
1592,0,796,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.009699,1.6000073,-0.2408944744258208,0.3432992696762085,-0.01268610916788904,,-0.8771864520159907,-0.8771864520159907
1593,0,796,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,350,350,0,0.99999946,1.5902086,-0.02697175182402134,0.6367755361986536,0.055036421388835584,3.0631000729687017,,3.0631000729687017
1594,0,797,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0084928,1.599975,-0.2423034859256061,0.3161704654876996,-0.013690629920132397,,-0.8728279946787609,-0.8728279946787609
1595,0,797,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,350,350,0,0.99999338,1.5900551,-0.02661283314228058,0.6361885466323596,0.05505841194580453,3.053576669452753,,3.053576669452753
1596,0,798,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0081068,1.5999693,-0.2410546450465061,0.330685555934906,-0.012583382346086405,,-0.8707969495558826,-0.8707969495558826
1597,0,798,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,347,347,0,1.0000074,1.5902789,-0.008987302699141317,0.6446240005624233,0.05623206157129139,3.1276318372957124,,3.1276318372957124
1598,0,799,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,302,0,302,1.0082068,1.5999086,-0.2413015838013786,0.3270788749922873,-0.012345409668017036,,-0.8090754679461983,-0.8090754679461983
1599,0,799,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,347,347,0,1.0000075,1.5905061,-0.01866954937577248,0.6454539704213929,0.05553633305825061,3.1312851666544237,,3.1312851666544237
1600,0,800,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.008705,1.5999652,-0.2417881879311556,0.3433994119581967,-0.01165722606989839,,-0.8181980497193035,-0.8181980497193035
1601,0,801,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,362,362,0,0.99994624,1.590806,-0.008944403380155563,0.6740719075380187,0.05652236481012605,3.2999430648799737,,3.2999430648799737
1602,0,801,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,305,0,305,1.0084491,1.6000172,-0.2400175909923818,0.3642563223838806,-0.008881365545461553,,-0.6637390095645208,-0.6637390095645208
1603,0,801,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,348,348,0,0.99999946,1.5904479,-0.008501657320931989,0.6504912926364597,0.05922436395724218,3.2003105420714286,,3.2003105420714286
1604,0,802,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,310,0,310,1.0080988,1.6000053,-0.2401404146929229,0.3591204881668091,-0.009561923253224582,,-0.7025368904563327,-0.7025368904563327
1605,0,802,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,335,335,0,0.99995136,1.5907241,-0.007261201504456499,0.6494483378112441,0.05824446515906077,3.1965963011743592,,3.1965963011743592
