,0.999946,1.004946,1.009946,1.014946,1.019946,1.024946,1.029946,1.034946,1.039946,1.044946,1.049946,1.054946,1.059946,1.064946,1.069946,1.074946,1.079946,1.084946,1.089946,1.094946,1.099946,1.104946,1.109946,1.114946,1.119946,1.124946,1.129946,1.134946,1.139946,1.144946,1.149946,1.154946,1.159946,1.164946,1.169946,1.174946,1.179946,1.184946,1.189946,1.194946,1.199946,1.204946,1.209946,1.214946,1.219946,1.224946,1.229946,1.234946,1.239946,1.244946,1.249946,1.254946,1.259946,1.264946,1.269946,1.274946,1.279946,1.284946,1.289946,1.294946,1.299946,1.304946,1.309946,1.314946,1.319946,1.324946,1.329946,1.334946,1.339946,1.344946,1.349946,1.354946,1.359946,1.364946,1.369946,1.374946,1.379946,1.384946,1.389946,1.394946,1.399946,1.404946,1.409946,1.414946,1.419946,1.424946,1.429946,1.434946,1.439946,1.444946,1.449946,1.454946,1.459946,1.464946,1.469946,1.474946,1.479946,1.484946,1.489946,1.494946,1.499946,1.504946,1.509946,1.514946,1.519946,1.524946,1.529946,1.534946,1.539946,1.544946,1.549946,1.554946,1.559946,1.564946,1.569946,1.574946,1.579946,1.584946,1.589946,1.594946,1.599946
2,,,-0.0038805556773185844,-0.0038491589630495608,-0.0038406080705284,-0.003871038516171376,-0.003863029037942943,-0.003822259969593747,-0.0038547163444107887,-0.00384247362867688,-0.003814214765288618,-0.0038589432102701,-0.0038515430503067347,-0.003892507391435972,-0.0038952379753883727,-0.0039162781500040435,-0.003932265626419586,-0.003954634647982052,-0.003998351059249218,-0.004011518904916019,-0.004057961166005865,-0.004095908421085062,-0.00412515327385103,-0.004163415256353261,-0.004212889245289299,-0.004251686605621576,-0.004297370924999668,-0.004360895985352163,-0.004408151792189412,-0.004443069336959728,-0.004533636083363301,-0.004600416646464599,-0.00456682197203166,-0.0047336673387053515,-0.004828177800787017,-0.004866401887180933,-0.004975374763026096,-0.005137616318709219,-0.00508862371129168,-0.005286101011689858,-0.005367185883719069,-0.005438346934272735,-0.0056417622814177336,-0.005740814065808699,-0.005933472196070672,-0.006155206550094052,-0.0064761205860039694,-0.006845134843956091,-0.007371894769774389,-0.008176689161240543,-0.009385629870529506,-0.011529676079499849,-0.014784711574514574,-0.021060448052577244,-0.03226150890078672,-0.050081784352726,-0.07100844169603918,-0.08417525436676578,-0.0832196977524036,-0.07560553533783189,-0.06571045869687193,-0.05731328588877324,-0.05003360962677534,-0.045863064263643984,-0.04210347863863394,-0.03988056361018343,-0.037873436710305707,-0.03637921777356392,-0.03429632633345223,-0.032282505131880426,-0.0304765174472294,-0.02834204048790301,-0.02651581768855391,-0.023667625231673373,-0.021345289032212077,-0.019111034660715193,-0.017037130428285713,-0.014893885919293092,-0.013084586333545938,-0.011384474127116545,-0.009833602776440077,-0.008363579012513769,-0.006992424646105514,-0.0060904261629892145,-0.004371218519184774,-0.0033216009229217066,-0.0019020831980179726,-0.0008870418447870454,0.0001661156298228144,0.0013625672372658854,0.0024579719268355642,0.00369285101163678,0.004911969853703191,0.006140098555266522,0.0074423920467868694,0.008863715994863616,0.01036848373170595,0.011886357434223907,0.013737776033000538,0.0155468049944929,0.017762276881483165,0.020032354683826213,0.02286171939212988,0.0258560946995983,0.02908324133519847,0.03328352666383231,0.03764679706304923,0.0429699856961996,0.04871722008399835,0.05569352416227321,0.06361015582349874,0.07258522171948253,0.082994304806284,0.09514974635383834,0.10889042082868018,0.12487338119330187,0.14385812746799986,0.1651564792124782,0.1906486177474271,0.22041805253642885,0.29386553210047933
4,,,-0.004401060616468403,-0.004327563029254606,-0.004339725513869593,-0.0043865632704355685,-0.004411649956931259,-0.004333917581038194,-0.004424449800096217,-0.0044434815811687945,-0.004413945172330227,-0.0044704854846654195,-0.004473608298781003,-0.004471703551088853,-0.0044965723156039465,-0.0046347195945553666,-0.004586052216998169,-0.004611655657274602,-0.004662947563434834,-0.004696131533327681,-0.004737717916214564,-0.004803393798745778,-0.004851395553987366,-0.004910249968219442,-0.0049911613035392615,-0.005051733809073649,-0.005128159802334393,-0.005216677683466902,-0.005304826333372745,-0.00540951191742346,-0.005510873767312982,-0.005614334333955453,-0.005722306770795514,-0.005852688393467618,-0.005981108116983508,-0.006070635021709862,-0.006253696268604197,-0.006422722212062426,-0.006555407312538459,-0.006715571476704315,-0.006947112996685837,-0.007129201321224332,-0.007340454844560764,-0.007598726807680548,-0.007895795170161044,-0.008140786152033579,-0.008694132542872216,-0.009272389717662971,-0.010053865157793452,-0.011278691113541099,-0.013119224930024147,-0.016087279453283556,-0.021948965749478036,-0.032654763635424355,-0.05202267666058723,-0.08483401312848156,-0.1224061783631871,-0.1297310649531988,-0.10935806817869118,-0.08669396254040593,-0.07203689970597624,-0.06137794889398208,-0.055207487947786626,-0.05043520508955484,-0.047688764503193044,-0.04518895393198039,-0.04180392385919862,-0.03926576251562573,-0.03676106960464962,-0.034236253764248124,-0.032006099739980365,-0.02915300153745968,-0.026945300621522048,-0.02400780270530958,-0.021573468347193307,-0.019547561964431415,-0.017699916242376986,-0.01613031541389175,-0.014207911060645657,-0.01297292728198233,-0.011625446196701679,-0.010283279983410746,-0.009348596228054267,-0.008320482382159253,-0.007315863356515512,-0.006760800798390469,-0.005480026183572071,-0.004643041155253367,-0.003787910591857324,-0.002854750276338411,-0.0019774103473851074,-0.001054484583241843,-7.152130486588119e-05,0.0008603740574716698,0.0015561942847101091,0.0030719399489913795,0.0042605148817758875,0.005470266917511331,0.006839254704912073,0.00834028469233289,0.010000924695970144,0.011563134360440703,0.013968868206763258,0.016255458036366553,0.01893786261112289,0.021889465479347524,0.025485393708995427,0.029693871339202173,0.034447374319430776,0.03978292335798525,0.046280168747823584,0.05371263374805632,0.06218071150948365,0.0721615735696241,0.08358286291662907,0.09716166304206189,0.1127857876970232,0.13117288013025244,0.15260166750135418,0.17850024688221044,0.23264665008809704
6,,,-0.004641164220526024,-0.004658094682581539,-0.00464399635341822,-0.004675862474818032,-0.004692952346631189,-0.004713501807627891,-0.004721270892027533,-0.004749107196258089,-0.004756602148107062,-0.004789274429939167,-0.004832966799089687,-0.004836391743505221,-0.004875385271262935,-0.004920161948368021,-0.004960583089324539,-0.004990261619247298,-0.005065599201662747,-0.005115034199149259,-0.00516929818702971,-0.005257478149626815,-0.005325642758523003,-0.0054208122325049395,-0.005505389766812314,-0.005602871981688948,-0.005711771198703186,-0.0058084032655720125,-0.005941067797883542,-0.006050773932851912,-0.006183319895247299,-0.006330132876870064,-0.00647749775496118,-0.006612673824632223,-0.006806047074569442,-0.006952931557477569,-0.007129649654951572,-0.007340668580131683,-0.007521675137172352,-0.007732118602253642,-0.007999716703280469,-0.008263681700941031,-0.00858417782999682,-0.00891627164069384,-0.009281727900539315,-0.009707995031717237,-0.010327236175773288,-0.011014637675042934,-0.01198006931121006,-0.013381457586815663,-0.015405081844330641,-0.019012580871481177,-0.025770282305430374,-0.03887010095973071,-0.06434276973377831,-0.10730996845432003,-0.1531350811335964,-0.1538249672660724,-0.12418063548894503,-0.09706333100782372,-0.07999035919912857,-0.06860742585413605,-0.061877860587241255,-0.057029511258401826,-0.051941202055599676,-0.048566108102411874,-0.044286163981749026,-0.04094654399139603,-0.03828007005086484,-0.03476271057328313,-0.03195766699925294,-0.02917444872546972,-0.027126175268054692,-0.023791818206673577,-0.021559541079523906,-0.01960979630444582,-0.018056313772390885,-0.016169553451319617,-0.014967910767495575,-0.013473361804097526,-0.012421183703735567,-0.011329445543353715,-0.010455824156652221,-0.00933412292119229,-0.008779884464231495,-0.007986896655386586,-0.007573485186129958,-0.00646141040513001,-0.005635942579181045,-0.00464286619481875,-0.004050998100633685,-0.0031533161824799723,-0.0022866663080700136,-0.0013625368404362973,-0.0003808377950810716,0.000522447178028854,0.0017091716462400792,0.0028424403118673647,0.0040380183739332845,0.005379351656934748,0.006873879731149822,0.008555115545128517,0.010299568155077168,0.012506668230436327,0.014947956291776697,0.01763310779235382,0.020563771275637893,0.024538432273668965,0.028772323561586804,0.033977588515974134,0.039610694552251725,0.04622092773582757,0.05428633871044708,0.06354537234036747,0.07419230942480111,0.08663970464983303,0.10121558091891572,0.11825907416984072,0.1379066462492387,0.16251188514870393,
8,,,-0.0049027137400452295,-0.004914562006302316,-0.00488886544299165,-0.00494927086584348,-0.004978743078023242,-0.0049783935178811444,-0.004992334973576859,-0.005036878149970797,-0.005047860951723855,-0.005097950362856363,-0.005121869953129211,-0.005105732119060088,-0.005135798937980133,-0.005215307173327006,-0.0052260009304540425,-0.005343424179366525,-0.005407082502352342,-0.005442084594196636,-0.005501100616129074,-0.005632428644364767,-0.005700492261175118,-0.005819419768855436,-0.005922333718445946,-0.006009035206280559,-0.006144895984755729,-0.006281574839134698,-0.0063959163232690805,-0.006514653790105986,-0.006700096488247337,-0.006874111554726441,-0.00704049104111094,-0.0071984190881632755,-0.007428074390551934,-0.007624229054018194,-0.007848133050057417,-0.008087286177972582,-0.008309828318436397,-0.008545084124285212,-0.008900597193878415,-0.009286826402873793,-0.00967764440067067,-0.010097373157486822,-0.010582237751915923,-0.01115834742531348,-0.0118676076584613,-0.01274694766259251,-0.013805367350830388,-0.015597593819067165,-0.018087587521810788,-0.022269976071211076,-0.030482214575216982,-0.04601052869753896,-0.07663967550689235,-0.13001190335061275,-0.1795862446150456,-0.16856381898967443,-0.1324822645373184,-0.10524006379998178,-0.0873351986594469,-0.07516003497749568,-0.06730463653039555,-0.06032933903471546,-0.05686880881979134,-0.05018002200782254,-0.04487112109995144,-0.041412138604677254,-0.038058089733982184,-0.03473481447378664,-0.03134798052450624,-0.02851301351141803,-0.026034389746337042,-0.023200244275651132,-0.02102162284379295,-0.01914340444705688,-0.01756823835701749,-0.01591980602647015,-0.01459821250947074,-0.013452147627290823,-0.012427823845810837,-0.011439104210050897,-0.010582686363363934,-0.009835336606928338,-0.009024923667389478,-0.008381965719400622,-0.007669468198637155,-0.007455457803952521,-0.006240263778968005,-0.005479569044046848,-0.004747327348928044,-0.00394024118703839,-0.0031188563145572866,-0.0022913403915234085,-0.0013639618405075925,-0.0004622002732979399,0.0005380826784942188,0.0015776248260186204,0.002686028234406366,0.003929458310666391,0.005074085490070969,0.00687500520407344,0.008543593843588536,0.01053543830593601,0.012716496721686756,0.015431859450744687,0.01817681074209158,0.021714245046239766,0.025918194025103022,0.030515432191872534,0.03602567509893463,0.042420115784770875,0.04980255719817505,0.058473514314018885,0.06879161504168227,0.08057993470184371,0.09453370288657797,0.11083010496555776,0.12979659029906931,0.15275152489256597,0.18604618120074115
10,,,-0.005148400340117466,-0.005148410651067536,-0.0051861831955993185,-0.005228167467262091,-0.00523695129743821,-0.005244683782420872,-0.005283311518539752,-0.005293930443686034,-0.005332162616218124,-0.005386222221509968,-0.0054051124787024745,-0.005443646935878518,-0.0055135082273864685,-0.005544511182737143,-0.005599231643008379,-0.005566380808298806,-0.0057337212923098246,-0.0058089092026500175,-0.005882746804343287,-0.005982446518681849,-0.006096380095232699,-0.006184149188850516,-0.006298617366715061,-0.006415219850625914,-0.00655814975109162,-0.00671184809593683,-0.006843915350250665,-0.007033596440510527,-0.007206623819353681,-0.007389048670546979,-0.0075868134438772895,-0.007833077762234361,-0.008046061958906748,-0.00830022997532788,-0.008574658970668805,-0.008877638718768937,-0.009172502230587376,-0.00955009257940424,-0.009993556353751393,-0.010250547372926338,-0.01082786606381599,-0.011309155085916041,-0.011926824847610682,-0.012663503147035697,-0.013558658005088415,-0.014620807346165032,-0.016019697627136863,-0.018146656465727926,-0.021160652949928634,-0.026265291689833457,-0.035265273887824224,-0.05267126340198943,-0.08518946601359292,-0.14425524022395664,-0.19722734616538184,-0.18212424285413706,-0.14325260108555984,-0.1129209678431207,-0.0931593399726755,-0.08059602014753116,-0.07130320439822611,-0.06361945496290992,-0.05768744351983745,-0.0513173454790204,-0.04626528080809374,-0.04185940220020663,-0.038317731017548484,-0.03446620553495482,-0.03143450384033285,-0.028537584980303284,-0.026054991854428243,-0.023357285458036916,-0.021456626196540873,-0.01939528656300362,-0.018244943171614063,-0.01671596136127564,-0.015358416604004143,-0.014205031559906009,-0.013317305499781606,-0.013542102758886544,-0.011438530424836814,-0.010775087705055947,-0.010097881723418179,-0.009552421510455976,-0.008754706704130593,-0.008085444135326893,-0.007445436322164754,-0.006658837871499715,-0.00598408738184018,-0.005181621362604574,-0.004386627991268505,-0.0035949800299443645,-0.0026941463505273113,-0.0018150528113585675,-0.0009976777870585798,0.0002338198761370216,0.0012398199288344678,0.0025476748342368005,0.0039069117496474985,0.0053288625607576376,0.006907801210557227,0.008866936918683906,0.01098344994585831,0.01353647140162479,0.016399520506116275,0.01974885827873168,0.023654118452728887,0.02797374256706904,0.033491291217801165,0.03963803705133845,0.04667033105619001,0.055124062978778206,0.06510221404585799,0.07661556295607982,0.08970117983883041,0.10577092039318024,0.12419645632185614,0.1464802168363557,
12,,,-0.005428314296234278,-0.0053814619199750975,-0.005369050935977848,-0.005447487915818881,-0.0054689935466851365,-0.005486594803614541,-0.005534470210508999,-0.005556054317266449,-0.0055912942252722185,-0.005634887359480622,-0.005678314714922833,-0.005700499328798692,-0.005777002267797248,-0.005826153498498392,-0.005893600559622778,-0.005956964000578385,-0.00604303704778045,-0.006111252405562865,-0.0062065359524611586,-0.006318297012860729,-0.006418862739314012,-0.006543514978890539,-0.0066580416887640275,-0.0068236601149309906,-0.006979067601000826,-0.007091054888035418,-0.007263833208483055,-0.007521705280872989,-0.007685379866727061,-0.007902387603896647,-0.00818933108388917,-0.008433550373468398,-0.0086575988235091,-0.00897375272946261,-0.009286361117765839,-0.009662851957077232,-0.010053448422579193,-0.010492018675280183,-0.010941008304652671,-0.011474308553366699,-0.01205251470512064,-0.012705624295734106,-0.013576331459969969,-0.014344432603731682,-0.015480326349253162,-0.016940249373891374,-0.01878582145326902,-0.021312479084986825,-0.02508093751449053,-0.030688442418674612,-0.0406022636588633,-0.05836528258515353,-0.09190587846823259,-0.15361846524612677,-0.21247991528700724,-0.1946965709168591,-0.1508348545230478,-0.11975170027717184,-0.09931254269249991,-0.08507409437579025,-0.07459717923196182,-0.06572496538372215,-0.05888254035110681,-0.05233003457282983,-0.046702795740865936,-0.04227363955840227,-0.037868640607775964,-0.034302082107824386,-0.031634609881298396,-0.028102635158744258,-0.025452502903150695,-0.023234514764742472,-0.021269077508799618,-0.01996007192699556,-0.01791189382606166,-0.01661194552382449,-0.01541260455242772,-0.014401159272849953,-0.013468063255048636,-0.012585337482323959,-0.011819675944488468,-0.011144316760811322,-0.010410520232871753,-0.009853429439537964,-0.009176468864390663,-0.008800216102575227,-0.007886494863125456,-0.007144632400143443,-0.006557098574647597,-0.005691997421198548,-0.004915677219553141,-0.004151485728417439,-0.0032924542181383795,-0.002466262607902688,-0.0015313575360388484,-0.00047426333753310514,0.0006051625862203596,0.0017750779495053905,0.0030229214131623832,0.004358131093024273,0.006090137489516351,0.007724056334155566,0.010015942362253673,0.012370326360230017,0.015091985254252663,0.01839469010875044,0.02209465710889115,0.026471539619862323,0.03162010366842032,0.03754422837535291,0.04468690006038611,0.052807896751292806,0.06243092415127146,0.07365038906284162,0.08680234508071759,0.1023252825959049,0.1207132600699307,0.1424624161114074,0.20003455369403053
14,,,-0.005595181060200324,-0.005637366955750358,-0.005641906207910838,-0.005674350548850788,-0.005717294357314194,-0.005734371573122581,-0.005766313090073721,-0.005796838923296769,-0.005826610830168189,-0.005835686530355038,-0.0059333804739460155,-0.005994678793926627,-0.0060437017900413495,-0.00612806882286081,-0.0062130339728745905,-0.006265949692030556,-0.006366711078698697,-0.006478344488501243,-0.006548580970413098,-0.006677242096699438,-0.006810155784980726,-0.006941225532932511,-0.00712948893430416,-0.00725348922499701,-0.007421212206987641,-0.007602804109419645,-0.007770237391522746,-0.008066177558074053,-0.008292621641014672,-0.008570461790787378,-0.008845878542200657,-0.009130205406264033,-0.009467276696604052,-0.009811576411863358,-0.010160383583380948,-0.010577269344892745,-0.011003022558701319,-0.011499573202910948,-0.012038284986199788,-0.012684513803764163,-0.013371772563675693,-0.01426500213897741,-0.015270904842686738,-0.016441148159375214,-0.0177872397687147,-0.01952105406319847,-0.021701817807023217,-0.024577526919669936,-0.028691507111177475,-0.03495060608327675,-0.04545986737826102,-0.06412179117409496,-0.09829669527626018,-0.16334981097964166,-0.22026289745765595,-0.20325990727636253,-0.15940726318941925,-0.12588319917248944,-0.10334635287020673,-0.08875121953413424,-0.07744067939179232,-0.06774598436214953,-0.05948669659070582,-0.052333691604438036,-0.047309456719387834,-0.041749869921753745,-0.037796164892151984,-0.034209194386551754,-0.03074864962766246,-0.027932240438882927,-0.025724228329825263,-0.022991969611987458,-0.02108488466345526,-0.019398831570461725,-0.017955876866803794,-0.016692987491529608,-0.015571941980152123,-0.01470802703235218,-0.01352982025094793,-0.012850991378453603,-0.011980876772502844,-0.011311161403896935,-0.010647013328317094,-0.010101427876997053,-0.009516266626038147,-0.008905542519088656,-0.008386045897753235,-0.007814436302068635,-0.006718839725316248,-0.006137448749294293,-0.00694475594020457,-0.004745606817071901,-0.003751657358091654,-0.0029369156035778205,-0.001982607308622049,-0.00109270434674225,-3.435144002861143e-05,0.0010881944817253853,0.001984731106110983,0.003732080489164242,0.005330490215185788,0.007042062202470672,0.009089170107726285,0.01147356198194427,0.014171838544327905,0.01729462939271502,0.020593063817752513,0.025275874600150596,0.030098269994420054,0.03614169359842169,0.042823608295117006,0.05099364414191627,0.060495752838855124,0.07145746717338014,0.08444014115719954,0.09972666817797547,0.1177092213738405,0.13917416586241904,0.16924920499527493
16,,,-0.005826513820470655,-0.005848879216921401,-0.005882459315142508,-0.0059256552561871454,-0.005951488514833718,-0.005997257128669708,-0.0060500433081052025,-0.006084739782542635,-0.006130300914584423,-0.006228717828641857,-0.006244891410501507,-0.006310994413207381,-0.006394954313352951,-0.006470157517094245,-0.006538495593927351,-0.006656115000164916,-0.006749855054738966,-0.006858800708914976,-0.006987436572759654,-0.0071295692337964576,-0.007253461694492139,-0.007434758282839945,-0.007614602392504508,-0.0077192474149865445,-0.008008883972964351,-0.008224553118473912,-0.008451124521228271,-0.008711971016441897,-0.008961177439954079,-0.009245402398513349,-0.009535816572216227,-0.009880452534944358,-0.010233457066106932,-0.010626041947685034,-0.011066107583993174,-0.011563432354175096,-0.012087465226556172,-0.012718427936923802,-0.013347916877827434,-0.014189516623188599,-0.015061654650481985,-0.016090596595757893,-0.017215238610672243,-0.01856978071427755,-0.02017493397352572,-0.022115562983890558,-0.02458196324619042,-0.02768344621091734,-0.03213128048888244,-0.03897337669065818,-0.04990809413395206,-0.06789457558611164,-0.10222870657847428,-0.16877608009386053,-0.22481395034547794,-0.21256499728047829,-0.16785105538953032,-0.13150665378190982,-0.1086737566534625,-0.09186439008964051,-0.07933453449162106,-0.06892992277074769,-0.05991681572259618,-0.05233202062960418,-0.046961477893354336,-0.041577229736777584,-0.03752778762141319,-0.033991018297633,-0.030510978512835216,-0.027630732876287232,-0.025208712349647455,-0.023404407571625267,-0.021095209245364295,-0.019197956120649128,-0.017965824164473173,-0.016798442875447232,-0.015650889266083406,-0.014759745677858352,-0.013736759924862731,-0.01286882162767433,-0.012136897374819954,-0.01187736188276274,-0.010881946371149372,-0.010362194909392346,-0.009824773363608106,-0.009208327659879641,-0.01055091563596237,-0.0073794912728473785,-0.007144120657491437,-0.006513700121110851,-0.005788719991452256,-0.004999547549439087,-0.00414255004293333,-0.0033287645103346683,-0.0024225806354373483,-0.0015020701525342468,-0.00047916994490968613,0.0006109468674947656,0.0014118543322534235,0.003191300649525716,0.004761313421695355,0.00640219549677467,0.008430872328094202,0.010616724230490135,0.013381667514080734,0.016450890822316544,0.019979991414313402,0.024289480647919155,0.029119238261834077,0.034942345228558915,0.04168737565443063,0.049718811935688875,0.059018178583008105,0.0698436632427877,0.08281094996903546,0.097838346148206,0.11560533052357237,0.1370161883039063,0.19013080225492898
18,,,-0.006099640789994821,-0.006137871941298745,-0.006165788587926484,-0.006219217960630295,-0.006274924443095076,-0.006319008359644235,-0.006378967334765189,-0.006433450608435442,-0.0065060473564183706,-0.006522628838874494,-0.00657076549608794,-0.0066814340649451265,-0.0067742164027353785,-0.006839609106917789,-0.006963099995227465,-0.007119274783281026,-0.007185991036104437,-0.007316210308882039,-0.007457959340238804,-0.0076029469539292995,-0.007746648371556013,-0.007936694973272823,-0.0081096497921887,-0.00830818929473592,-0.00854733831747469,-0.008778978335593974,-0.00903778681558786,-0.009331303978990796,-0.009627038688054054,-0.00997229563180001,-0.010313297320590725,-0.010665892958830022,-0.011134230129987661,-0.011565535065341175,-0.01206326194581187,-0.012653404689076081,-0.013251195659277031,-0.013909190750539951,-0.014729239806286112,-0.015588690873058931,-0.016475970765837615,-0.01767736719861143,-0.01900002206926412,-0.02042495221738557,-0.022219781678509555,-0.024326048875552175,-0.027055240168020828,-0.03045110912561909,-0.03516514408214036,-0.04231678950438829,-0.05302245831412674,-0.07010813209794106,-0.1042447059399692,-0.1714791538804459,-0.23356983722169142,-0.22176213728295247,-0.1735649998188679,-0.13604596858382806,-0.11222817541285574,-0.09418325433655382,-0.08112240204816379,-0.0696377138816843,-0.06035679807677042,-0.053197591369442125,-0.04686079775563947,-0.041563827410137665,-0.03745960094571246,-0.033754948033568696,-0.03032410301880654,-0.027584407132441605,-0.024826429726772504,-0.022732620014106655,-0.020911326061855313,-0.01933031314518147,-0.018084823317370016,-0.016679444760398166,-0.015638568775373972,-0.013738702966086277,-0.013878329555007759,-0.013034222082073362,-0.01230046984785103,-0.011691872498229188,-0.01100497694274235,-0.010528230705036404,-0.009701449476069282,-0.009341125395328756,-0.008738641138102948,-0.008054757841976389,-0.007404751187459444,-0.006733345509145994,-0.005980459241815709,-0.005268169339838529,-0.004630612240766153,-0.003764596559209786,-0.0026978189289057273,-0.0017924786721542523,-0.0007990172439242469,0.0002806635195935933,0.0014646264416960013,0.002734041813890792,0.004009583562523868,0.005981502610640257,0.007870366705687607,0.010099570897718842,0.012651868755416368,0.01576138627728478,0.019266044841104862,0.02351843156592987,0.028173298510705918,0.03406317137124692,0.0406504095238435,0.048290735873565714,0.05774991841727651,0.06860241197254893,0.08135362743939675,0.09632582100824598,0.1142368095107736,0.1356283653578178,0.17079395219095084
